rank,name,score,AdmissionRate,MatriculationRate,SAT75Equiv,SAT25Equiv,GraduationRate,RetentionRate,Tuition,ExpensesPerStudent,ProfessorSalary,PercentUndergradOutOfState,PercentUndergradForeign,PercentWomen,PercentUndergrad18-24,StudentToFacultyRatio,Enrollment,FulltimeUndergradEnrollment
799,University of Detroit Mercy,284588.5,69.1,19.0,1772.4,1528.9,54.0,81.0,35920.0,25912.8,100611.0,6.0,2.0,60,73.0,13,4945,2102
800,Hardin-Simmons University,284553.2,56.8,41.0,1707.6,1391.0,52.0,64.0,23460.0,18095.1,64647.0,4.0,0.0,51,76.3,12,2084,1468
801,Edinboro University of Pennsylvania,284529.4,99.3,39.6,1559.3,1213.9,45.0,70.0,8849.0,14671.6,107838.0,14.0,1.0,62,85.0,19,6837,5088
802,Southwest Baptist University,284240.5,61.8,48.7,1775.5,1405.9,49.0,67.0,20040.0,9107.0,62361.0,23.0,0.0,64,76.3,15,3696,2011
803,Mississippi Valley State University,284188.6,16.3,37.7,1350.0,1100.0,30.0,65.0,5916.0,21765.8,65322.0,38.0,2.0,59,79.0,14,2222,1652
804,South Carolina State University,284155.5,84.5,26.0,1319.8,1097.5,38.0,63.0,9776.0,28230.8,73341.0,28.0,2.0,56,90.0,15,3331,2581
805,Misericordia University,284145.6,71.5,30.5,1758.0,1458.0,71.0,80.0,28210.0,14666.3,83736.0,34.0,0.0,69,74.0,13,3054,1773
806,Saint Francis University,283902.3,68.7,35.0,1703.2,1396.4,72.0,85.0,29992.0,19290.6,81711.0,24.0,0.0,64,76.3,14,2667,1584
807,Fairmont State University,283813.9,66.5,40.7,1585.5,1283.2,33.0,64.0,5824.0,13040.5,71676.0,13.0,1.0,56,74.0,15,4035,3271
808,Regis University,283765.0,96.0,20.7,1807.5,1495.5,59.0,78.0,32424.0,13806.4,71748.0,48.0,1.0,63,43.0,14,9208,2501
809,Saint Martin's University,283676.5,88.8,25.5,1772.0,1410.0,48.0,80.0,30284.0,17289.5,65034.0,23.0,4.0,51,64.0,12,1801,1096
810,Bethel College-Indiana,283484.8,70.5,26.1,1770.0,1344.8,70.0,81.0,24970.0,15951.3,64449.0,29.0,0.0,64,76.3,12,1792,1227
